Namaz,Namaz Time
Fajr,2023-02-01 11:44:00+00:00
Fajr,2023-02-02 11:43:00+00:00
Fajr,2023-02-03 11:42:00+00:00
Fajr,2023-02-04 11:41:00+00:00
Fajr,2023-02-05 11:40:00+00:00
Fajr,2023-02-06 11:39:00+00:00
Fajr,2023-02-07 11:38:00+00:00
Fajr,2023-02-08 11:37:00+00:00
Fajr,2023-02-09 11:36:00+00:00
Fajr,2023-02-10 11:35:00+00:00
Fajr,2023-02-11 11:33:00+00:00
Fajr,2023-02-12 11:32:00+00:00
Fajr,2023-02-13 11:31:00+00:00
Fajr,2023-02-14 11:30:00+00:00
Fajr,2023-02-15 11:29:00+00:00
Fajr,2023-02-16 11:27:00+00:00
Fajr,2023-02-17 11:26:00+00:00
Fajr,2023-02-18 11:25:00+00:00
Fajr,2023-02-19 11:23:00+00:00
Fajr,2023-02-20 11:22:00+00:00
Fajr,2023-02-21 11:21:00+00:00
Fajr,2023-02-22 11:19:00+00:00
Fajr,2023-02-23 11:18:00+00:00
Fajr,2023-02-24 11:16:00+00:00
Fajr,2023-02-25 11:15:00+00:00
Fajr,2023-02-26 11:13:00+00:00
Fajr,2023-02-27 11:12:00+00:00
Fajr,2023-02-28 11:10:00+00:00
Dhuhr,2023-02-01 18:05:00+00:00
Dhuhr,2023-02-02 18:05:00+00:00
Dhuhr,2023-02-03 18:05:00+00:00
Dhuhr,2023-02-04 18:05:00+00:00
Dhuhr,2023-02-05 18:05:00+00:00
Dhuhr,2023-02-06 18:05:00+00:00
Dhuhr,2023-02-07 18:05:00+00:00
Dhuhr,2023-02-08 18:05:00+00:00
Dhuhr,2023-02-09 18:05:00+00:00
Dhuhr,2023-02-10 18:05:00+00:00
Dhuhr,2023-02-11 18:05:00+00:00
Dhuhr,2023-02-12 18:05:00+00:00
Dhuhr,2023-02-13 18:05:00+00:00
Dhuhr,2023-02-14 18:05:00+00:00
Dhuhr,2023-02-15 18:05:00+00:00
Dhuhr,2023-02-16 18:05:00+00:00
Dhuhr,2023-02-17 18:05:00+00:00
Dhuhr,2023-02-18 18:05:00+00:00
Dhuhr,2023-02-19 18:05:00+00:00
Dhuhr,2023-02-20 18:05:00+00:00
Dhuhr,2023-02-21 18:05:00+00:00
Dhuhr,2023-02-22 18:04:00+00:00
Dhuhr,2023-02-23 18:04:00+00:00
Dhuhr,2023-02-24 18:04:00+00:00
Dhuhr,2023-02-25 18:04:00+00:00
Dhuhr,2023-02-26 18:04:00+00:00
Dhuhr,2023-02-27 18:04:00+00:00
